expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,cont_rating
(t^(t|11))^((t*12)&11),0,1423.748379,28.97558012,2505.219415,10.47054405,0
t*(t/10),0,1798.640484,124.7061917,3310.422207,110.6617505,5
(t|(t&7))*(t/8),0,1793.097701,110.19959,3311.668883,102.0012012,5
((t>>6)-(t^((t>>1)|5)))-((t>>4)&5),0,902.3298113,73.41400269,2299.301862,203.8240601,10
(t*((3+(1^((t>>10)&5)))*(5+(3&(t>>14)))))>>((t>>8)&3),0,1179.23493,113.3664998,2697.406915,157.3404524,60
t>>((t^(t|11))*(((t|8)&(((t>>10)*(t&11))*10))>>11)),8.680555556,1002.011761,309.4402679,2339.62766,637.4213589,45
((t>>13)>>(t&(t&(t>>15))))|(t>>(t*(t>>12))),14.6484375,817.2509094,484.8983032,2466.788564,1564.872757,10
(t|9)>>((t&9)*7),14.6484375,1652.373651,144.0311248,3644.996676,106.1118787,10
t*(((t>>6)&12)|(((t>>12)&25)^(((t>>10)&12)&(t>>17)))),15.12096774,1232.248899,227.3929316,2698.72008,282.6626032,90
(((t|5)*7)>>8)^((t*6)*11),17.04545455,1587.295797,139.309784,3347.057846,212.8838746,5
(t*5)&(t>>((t^3)%6)),19.53125,1656.426685,109.6125711,3392.96875,72.64543574,5
(t|11)-((t*10)>>11),21.30681818,676.7722369,97.31336995,1684.757314,239.9039171,0
((t>>10)*13)*((t^(t^9))+((t+10)>>((t%12)^12))),23.4375,1716.460499,145.3094183,3303.125,223.2595817,5
t|((t>>9)*(((t>>10)*8)*(t^6))),28.40909091,1323.483483,195.6014321,3070.728059,408.0657958,15
(t>>9)*(((t*8)%10)&10),29.296875,1519.421192,105.0851145,3200.21609,2.17238155,5
t>>((((((t%4)&(((t*5)*4)%4))>>5)^6)&7)*(t&5)),29.296875,1709.74793,109.831953,3552.077793,178.7941975,10
(t%9)-((t*8)&(t|(((t+11)^(t^9))*(t>>12)))),29.296875,1545.794302,89.55178524,3194.797207,154.9394236,10
(t*(t>>(t&(t>>8))))&((t|(t*9))>>(t>>(t*12))),29.296875,1593.22836,96.06550816,3198.121676,120.9248521,15
t>>(t^(t+((t>>10)&8))),29.296875,687.6371065,100.7537966,1568.766622,192.2874438,15
t-(((t&(t&7))*(t&(t>>10)))*(((t*7)|(t*4))*8)),29.296875,1668.570397,129.705117,3329.837101,201.3256302,20
t^((t&((t*13)*10))*(((t^11)&10)&(t>>12))),29.296875,796.705594,167.4252957,1879.886968,244.9893409,20
(((t>>10)*11)>>(t>>15))-((t+12)*((t>>11)|12)),29.296875,1501.454749,142.8099573,3094.265293,177.914054,45
(t*((4+(2^((t>>12)&2)))*(3+(2&(t>>14)))))>>((t>>11)&2),29.296875,1097.19914,132.8291039,2666.422872,178.3014513,50
(t%10)|((t&8)&((t>>10)*(t&7))),29.296875,1494.197369,245.1912181,3039.012633,356.772761,75
(t>>10)^((t*(t|10))*(t>>11)),29.296875,1558.234484,201.6673326,3165.84109,317.1727484,80
(t*10)*(t^(t>>13)),30.24193548,1469.544482,161.054923,3068.650266,267.955283,25
(((t|10)*11)*((t^10)>>11))+(t|(t>>(t|12))),30.24193548,1604.37642,264.2766029,3448.238032,347.6580418,30
((t>>(t&9))>>((t>>10)%14))&(t>>(t&((t>>7)-9))),33.48214286,1631.085686,200.6904553,3308.759973,387.3247869,35
t&((t>>10)*(t*9)),33.48214286,1563.428942,305.628347,3079.986702,434.8160619,40
t-(t&(((t>>9)*9)&(t^(t&10)))),33.48214286,666.3638866,79.31823282,1715.375665,200.9155813,65
