,expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff
0,(t*6)&((t^8)*((t>>8)*((t>>7)&4))),29.296875,1614.5475876880523,231.39322669750496,3148.819813829787,312.39783371236234
1,t*((t>>(t&((t*9)>>10)))*(t|(t*10))),66.96428571428571,1592.7971129906948,91.70191316242446,3202.277260638298,116.68273713787566
2,(t&9)>>(((t*5)%8)>>((t-6)&(t*(t&6)))),85.22727272727273,1396.4827403332183,168.20864606729128,3114.378324468085,125.60976395414808
3,((t*(t*5))|5)^((((t>>5)*0)-5)+(t>>6)),156.25,1661.731359294104,104.08155336428091,3321.5757978723404,79.53490963779443
4,((t*15)^(t|((t>>16)*(t^15))))&((t*14)>>((t>>13)^13)),104.16666666666667,1236.322220632127,216.92137505802341,2808.776595744681,527.9981094013152
5,(t&13)^((((((t-13)&12)>>9)^13)&(t>>12))*11),117.1875,403.9876247049833,308.24791919840976,867.8690159574468,1021.3180457827774
6,(t>>5)>>(((t*3)*6)&(t&(t%5))),58.59375,1054.50257056265,319.323490466342,2739.1788563829787,635.0682759205555
7,(t^9)>>((t|(t>>9))&((t>>5)>>(t&9))),117.1875,1608.9400755264005,201.78211373964808,3479.870345744681,205.86652454920124
8,((t*5)*9)&(((t*8)>>6)>>((t>>(t^8))*((t&10)&6))),117.1875,1579.1828196735705,114.15597099089753,3028.2579787234044,122.8550085243502
9,t|(((t^(t&6))&7)|(t>>5)),58.59375,462.0879859951483,88.21923053011253,1095.777925531915,307.6040451568004
10,t>>((t>>(((t*9)*10)&((t&10)&(t>>14))))&8),187.5,906.0602460474096,103.27805310672292,2226.163563829787,232.04005756555307
11,(((t*(t&7))*5)>>7)>>(t&(((t%1)*8)&(t&(t^5)))),72.11538461538461,1616.3062490137875,210.82843569252356,3153.158244680851,279.40612320125996
12,t>>(((t&((((t&9)^8)^(t>>7))&(t-7)))>>8)+((t*6)%7)),117.1875,1397.8397292780437,129.28137036597073,3097.7726063829787,278.92931911881266
13,((t*2)^((t%5)>>6))>>(((t>>8)^5)&(t&(t>>4))),117.1875,1272.9672516966402,85.51773703649215,3087.5,126.03935417109618
14,(t|4)&((t&5)^(((t&4)+(t&1))*(t>>4))),117.1875,1703.0089716577418,135.22515055183976,3636.2034574468084,224.76082726848946
15,(((t*8)*(t|9))*10)|((((t>>11)+11)&9)^(t&6)),29.296875,1086.1057482298474,30.734715293752295,2500.93085106383,7.70645835254562
16,((t|(t>>(t&12)))*12)|((t&((t>>(t*9))%11))|(t%9)),234.375,1176.5605711425035,103.5702483838538,2654.7041223404253,196.0011456290327
17,((t>>(t&12))&14)|(((((t*11)>>(t>>10))+(t&12))*10)*11),117.1875,923.2215894462823,210.36604314802722,2549.5179521276596,180.50976533144956
18,t&(((t>>6)&8)&((((t>>8)&(t>>4))*7)*(t%4))),187.5,1750.5770055485748,99.9110170528456,3525.980718085106,79.15436687004316
19,(t|(t|9))+(((t&(t*(t*(t&(t*6)))))|11)>>7),117.1875,1674.9602242896476,163.33899359561238,3284.408244680851,105.71944415692747
20,t&((((t^(t>>6))&7)*(t>>8))&7),187.5,1915.4762048707896,120.21901200583137,3352.144281914894,212.66985082169091
21,(t>>5)&(t^((t&(t>>4))*((t^(t>>0))>>((t^6)>>6)))),58.59375,690.3252612017009,86.82072059638884,1758.1117021276596,192.62995263273982
22,(((t+12)>>(t&13))>>(t>>14))^(((t>>12)*13)|10),117.1875,1443.6929634218768,283.69428281548306,3376.2300531914893,231.0081613912926
23,(t>>5)*((((t>>7)%3)&5)^((t*5)%3)),58.59375,1798.7653060059135,102.22446519449453,2785.0398936170213,48.67498691305446
24,((t&(t>>5))*(t>>5))&((t+4)*((t>>2)^(t*6))),58.59375,1788.9701209111674,86.87636222376705,3361.552526595745,104.17628537056629
25,t-((t^((t*6)>>8))+6),133.92857142857142,797.358957991832,174.67508966484738,2007.280585106383,353.157364507817
26,((t*4)&(t>>4))&((((t*8)*7)^(t>>10))^((t&(t+9))*8)),117.1875,1630.5336067522355,128.60025119323586,3167.802526595745,220.77913697457313
27,((t&(t*5))>>(t&(t*(t>>9))))&(t|(((t%7)-(t|10))*12)),117.1875,1850.6950245152934,189.028735660933,3324.1688829787236,212.31006625028186
28,(t>>5)&(t*(((t>>4)>>(((t-5)&7)^7))^6)),58.59375,1806.4798640536296,82.59368895800212,3325.7313829787236,55.766661466023706
29,((((t^((t&(t&12))+10))*11)>>12)*((t&10)|11))*((t*(t^12))>>10),44.642857142857146,1775.6104335084506,119.72616078497187,3565.458776595745,194.46811733035125
30,(t*13)&(((((t&6)&12)*(t>>9))&12)*((t|7)>>10)),117.1875,1491.1414315513057,132.01377369614224,3007.5465425531916,211.67757513297516
31,(t*4)&(((t%3)>>(t&2))|(t>>4)),117.1875,879.8222526389679,92.52775816339081,2185.9541223404253,166.9884952086287
32,(t>>3)%((((t*(t%2))*(t>>3))^0)-3),117.1875,1543.5330706636137,161.84774629552075,3798.221409574468,131.84908532524923
33,(t>>8)&((t&((t*3)&10))^(t^7)),117.1875,721.8343925112291,202.00994182745188,1814.4614361702127,414.3643166972673
34,(((t>>8)^6)*7)>>((t*(t>>8))&(t*(t&(t&6)))),117.1875,1573.9381229794074,104.37840295262114,2978.972739361702,162.52116252044604
35,((t>>4)|(((t&3)|(t>>4))>>7))>>(((t*5)&6)&(t&7)),117.1875,1197.4878378372957,204.27963682837816,2853.191489361702,367.334695972762
36,((t|11)&13)&(t|(t>>13)),58.59375,637.9685544815331,233.26929245146724,1605.6183510638298,653.4890717034053
37,(t>>8)&(t-((t^8)>>((t>>5)*6))),234.375,715.9804308640948,194.27232696058562,1805.4022606382978,358.26493065784587
38,((t>>4)>>(t+10))+((t>>7)&((t*8)>>9)),117.1875,346.6184404171156,188.54371772693548,740.6748670212766,573.5060778700362
39,((t/((t^4)|4))%(((t*2)*5)^1))*(t|((t>>5)-4)),58.59375,470.85397415206785,97.12524250616406,1125.4155585106382,335.7279487396713
40,(((t*8)>>7)*(t>>5))^(((t>>4)*5)>>(t&9)),58.59375,1589.0463093501967,200.0090583466602,3647.1742021276596,86.70153491304691
41,(t-(((((t&(t*3))^4)*(t|3))&2)^(t&5)))-(t>>7),14.6484375,919.7039546628007,61.72690981069621,2483.560505319149,120.28939461133474
42,(((t>>10)^((t*11)*8))*(t>>12))^(t&(t*9)),29.296875,1727.8060349666787,179.16779403239244,3277.875664893617,252.91960543925535
43,((t-9)>>8)&((t&(t^8))^11),117.1875,670.7997335306568,141.981442017081,1725.7978723404256,288.791360821673
44,(((t&1)*1)-(t>>2))+((((t>>3)^1)^(t-(t-2)))*((t&1)>>2)),117.1875,785.5582441631234,104.79110311111482,2904.7706117021276,260.40206135009214
45,(t>>4)&(((t>>5)>>2)^(t|((t*(t|2))+3))),117.1875,1402.6535736102214,97.81536890119378,2969.7639627659573,93.35965874690046
46,t>>((t*6)&(((t|(t-6))&6)&7)),117.1875,1529.5265117932106,107.267247672289,3381.033909574468,251.1634901238328
47,(((t>>1)>>2)|(t>>2))&((t*5)>>7),78.125,456.0015994568175,81.75232212183076,1067.1043882978724,289.47512393442935
48,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),117.1875,1638.9438562574194,101.44584201153872,3489.9601063829787,254.74577241781526
49,(t>>11)^(((t*(t^8))*((t-9)^(t*7)))|((t+9)>>10)),0.0,1514.3661706794326,90.38655968010113,3318.7333776595747,116.4996980243081
50,((((t>>10)-(t^12))%8)&(t>>10))+((t%10)>>(t*(t&6))),78.125,1400.6874674363166,76.29451205455217,2848.221409574468,148.0044865361012
51,(((t>>7)|7)*((t*9)%8))&(t&9),117.1875,1611.5713379816655,152.6130519911565,3516.5392287234044,12.405434294565483
52,((t^7)+((t*7)&8))|((t*7)&(t&(t>>5))),58.59375,997.4935026783467,141.29661373986252,2916.206781914894,350.8486942373519
53,(t&(((t*7)*2)+((t*3)*5)))|((t+2)>>3),117.1875,1017.8026011890444,117.1295297907746,2601.4295212765956,119.84403814358359
54,((t*5)+((t%6)^6))>>((t&7)*((t>>7)&7)),66.96428571428571,1479.8635431523014,77.16950168081935,3018.8497340425533,37.2448158331495
55,t&(t>>(((t&1)>>(t>>3))|5)),58.59375,690.3252612017009,86.82072059638884,1758.1117021276596,192.62995263273982
56,((t*9)/(((t>>8)^(((t*(t*10))%8)*7))|11))*(t&9),117.1875,1825.0474261147724,104.23104721935515,3789.3284574468084,112.95576136529094
57,t*(((t&6)^((t*((t|(t&6))>>8))|(t*(t>>(t*(t|7))))))&5),0.0,1837.1298675500957,95.11032578056854,3691.40625,62.98226502843243
58,((t*8)%10)>>(t*((t%(t^(t^13)))&(t>>12))),104.16666666666667,1782.9892332838472,202.12429956942938,3348.686835106383,169.25507937333404
59,(t*4)&((t*(t&10))>>8),72.11538461538461,1225.5273119400244,78.56138600089199,2361.0372340425533,98.9477258626327
60,((((t-11)|(t^((t>>12)*13)))*(t&13))*10)|(((t&11)&10)>>((t|10)&9)),117.1875,1651.141830936163,87.1173794336294,3438.7632978723404,88.69833179674595
61,t&(((t*5)^(((t*6)&7)*(t*6)))>>5),156.25,1671.9327821138968,83.04504176973855,3686.1702127659573,116.91090084074094
62,(t^(t*3))&(((t>>3)>>1)|4),117.1875,795.1247410094323,96.57694921408131,2000.9474734042553,168.46363237588469
63,(((t>>7)*7)|((t&8)&8))&((((t-7)|8)>>8)&9),117.1875,785.2686108894857,97.01678631268219,2008.377659574468,307.27229360638114
64,((t*10)+((t^9)*10))*(t&(((t>>11)^12)*(t&(t&12)))),234.375,1206.197001237283,130.44206667576879,2481.815159574468,233.6328955076156
65,t+((t&(t*(t%4)))%7),104.16666666666667,1011.3740583918135,89.22788206287116,2757.5132978723404,260.48624391187246
66,(t>>3)-(t^((t-4)|5)),117.1875,1079.8903132733935,121.227220096879,2859.208776595745,141.26800909988728
67,((t&(t>>8))^(t>>5))&(t>>8),117.1875,738.8185425034487,201.00190988302268,1846.6755319148936,348.5099624438151
68,((t|8)>>((t*8)*8))-((t*11)>>(((t&9)*10)&(t*8))),78.125,1665.3993452564184,117.54890378647502,3455.186170212766,106.0481922555895
69,(((t&(t&5))-4)*(t>>4))>>((((t&(t&10))&6)&8)&6),117.1875,1735.6995507584825,127.94896647340295,3686.220079787234,314.0912539074335
70,((t&(t+2))>>3)&(((t%1)+(t+0))^(t*(t+(t&0)))),117.1875,1760.7073787833344,66.14551682677327,3383.244680851064,49.23624217162312
71,(t^((t>>(t*(((t*5)&6)|7)))*(t&5)))>>(t%4),117.1875,1322.2152709913578,98.40719959366966,2729.105718085106,253.45684287438368
72,((t+1)&((t>>2)^(t>>1)))|(((t|3)*1)*(t%2)),117.1875,1517.4843864813106,74.61924914132629,3923.720079787234,17.80169623537785
73,((t&(((t+2)>>(t*4))-1))^5)>>(t&3),117.1875,1321.359138346972,99.113510196172,2728.158244680851,260.4408932493256
74,(t>>(t&(t>>7)))&(t^(t>>(t>>8))),117.1875,1379.3635873079368,368.224541744101,3050.0997340425533,703.379638011705
75,((t*5)&(t>>7))&(t>>(t%6)),187.5,1764.2794719676692,150.14044766099784,3258.44414893617,157.32341052539567
76,((((((t*0)*1)>>((t*2)*2))+(t>>1))+3)>>(((t|1)|4)&3))&(t|6),117.1875,1069.6535894492501,111.3094047062888,2070.678191489362,22.409208363274484
77,t&((t^((t|8)>>10))-((t|9)&10)),8.680555555555555,699.7943386862484,47.52167803568422,1813.9461436170213,134.3274419029614
78,(t&(t>>((t>>0)&2)))&(t>>3),117.1875,972.8786762162307,119.48793015536255,2041.8550531914893,21.458894271332678
79,((t>>(t&7))&7)&((t>>8)|(t^(t&6))),117.1875,1712.7445361123428,174.17943950959292,3195.595079787234,155.492631339317
