,expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,height,leaves,t-count,operators,2_powers,avg_operand,std_operand,r(>>),r(*),r(&),r(^),r(%),r(|),r(-),r(+),r(/),>>,*,&,^,%,|,-,+,/,fitness
52,(t&8)|(((t>>9)>>6)|(((t*7)-8)&6)),117.1875,1448.6027343870655,491.03939450069413,2978.507313829787,730.6322772560418,0.27181474401595745,0.24676669312981345,0.0002034369099419564,0.001661046757362783,1250.649416925015,43.187574082506295,14.48445334237161,5,6,3,8,2,7,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,2,1,0,0,34.07961980457756
55,(t%10)+(((t&11)%10)*(t/13)),93.75,1998.6760302393327,355.06492744292973,3271.293218085106,369.82804756221486,0.511284491356383,0.28970040343793657,0.211790069937706,0.05092935264110565,1102.4423107416428,14.919599473293724,3.6179787881746446,4,4,3,6,0,11,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,23.05001943177231
66,((t&2)>>0)>>((t*(t|(t*1)))>>(t^1)),234.375,1512.0693081682346,459.4208112139377,3056.715425531915,663.0518094796769,0.2252202460106383,0.23821543744951723,0.006451031193137169,0.014703900553286076,1267.5855483660132,28.22305755428109,7.204253292976,5,4,5,8,3,1,0,1,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0,31.674120157185992
70,t>>(t-(t&(t^7))),187.5,1694.7010592417628,350.70682292075344,3227.4767287234044,337.2065311626494,0.2381815159574468,0.23482223844390146,0.2097831815481186,0.20199377834796906,1235.911688167849,15.562591792594061,6.232735502757685,4,1,4,4,0,7,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,28.444095957074918
74,((((t-4)*7)>>5)>>(t&6))^(((t%5)>>4)-((t&6)&1)),58.59375,1979.8751982231372,370.4311917230492,3262.150930851064,342.06732019080374,0.48916015625,0.2800505030517757,0.26030871272087097,0.052437737584114075,1097.7378638977984,14.861463597358512,3.4299855387122795,5,8,4,11,3,4,1,0,0,0,1,0,0,0,0,0,3,1,3,1,1,0,2,0,0,24.647259301312314
0,(t%11)+(((t&11)%9)*(t/13)),14.6484375,1313.2478704602847,74.43514101818813,2632.0478723404253,217.18023444251932,0.12381358045212766,0.005734731537106353,9.004543244373053e-05,0.0008584469906054437,1025.0293975604134,75.81634791590831,32.28585154269827,4,4,3,6,0,11,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,7.84673215942979
1,t>>(t-(t&(t^6))),72.11538461538461,1904.8753832207294,128.10159558229333,3464.0791223404253,56.89240726537355,0.49710563497340426,0.09952152798708731,0.04513333737850189,0.01213295292109251,1206.6639266808158,20.633022852165414,5.759935695313596,4,1,4,4,0,6,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,9.909489703782713
2,((t&2)>>0)>>((t*(t|(t*1)))>>(t^(t&2))),0.0,1997.4250951949268,27.97533787557639,2005.7347074468084,16.503146450504715,0.4967066988031915,0.023005508311353336,4.313411409384571e-05,0.0004072270239703357,13.70720001422017,27.211881381256077,31.117087952365615,5,4,6,9,3,1,0,1,0,0,0,0,0,0,0,0,3,2,2,1,0,1,0,0,0,6.497123335946749
3,((((t-4)*7)>>5)>>(t&6))^(((t%5)>>4)-((t&(t*7))&1)),117.1875,1319.0189492025738,78.06736441379037,2657.6961436170213,96.61673851611502,0.24783909574468085,0.05271533904992688,0.020586010068655014,0.012195953167974949,1002.3073447341285,21.08759871520022,11.031454453362327,5,8,5,12,3,4,1,0,0,0,1,0,0,0,0,0,3,2,3,1,1,0,2,0,0,8.102910425931684
4,(t&8)|(((t>>9)>>6)|(((t*7)-8)&6)),104.16666666666667,2664.5846419482195,146.23804530669665,3903.8563829787236,117.0088847404066,0.7417573969414893,0.08355676308012379,0.011406068690121174,0.006883605848997831,1011.2882060607541,12.10183089321292,9.892790673377782,5,6,3,8,2,7,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,2,1,0,0,10.655311105523523
