IDX,expression,cont_rating
0,(t^(t|11))^((t*12)&11),0
1,t*(t/10),5
2,(t|(t&7))*(t/8),5
3,((t>>6)-(t^((t>>1)|5)))-((t>>4)&5),10
4,(t*((3+(1^((t>>10)&5)))*(5+(3&(t>>14)))))>>((t>>8)&3),80
5,t>>((t^(t|11))*(((t|8)&(((t>>10)*(t&11))*10))>>11)),45
6,((t>>13)>>(t&(t&(t>>15))))|(t>>(t*(t>>12))),10
7,(t|9)>>((t&9)*7),10
8,t*(((t>>6)&12)|(((t>>12)&25)^(((t>>10)&12)&(t>>17)))),90
9,(((t|5)*7)>>8)^((t*6)*11),5
10,(t*5)&(t>>((t^3)%6)),5
11,(t|11)-((t*10)>>11),0
12,((t>>10)*13)*((t^(t^9))+((t+10)>>((t%12)^12))),5
13,t|((t>>9)*(((t>>10)*8)*(t^6))),15
14,(t>>9)*(((t*8)%10)&10),5
15,t>>((((((t%4)&(((t*5)*4)%4))>>5)^6)&7)*(t&5)),10
16,(t%9)-((t*8)&(t|(((t+11)^(t^9))*(t>>12)))),10
17,(t*(t>>(t&(t>>8))))&((t|(t*9))>>(t>>(t*12))),15
18,t>>(t^(t+((t>>10)&8))),15
19,t-(((t&(t&7))*(t&(t>>10)))*(((t*7)|(t*4))*8)),20
20,t^((t&((t*13)*10))*(((t^11)&10)&(t>>12))),20
21,(((t>>10)*11)>>(t>>15))-((t+12)*((t>>11)|12)),45
22,(t*((4+(2^((t>>12)&2)))*(3+(2&(t>>14)))))>>((t>>11)&2),50
23,(t%10)|((t&8)&((t>>10)*(t&7))),75
24,(t>>10)^((t*(t|10))*(t>>11)),80
25,(t*10)*(t^(t>>13)),25
26,(((t|10)*11)*((t^10)>>11))+(t|(t>>(t|12))),30
27,((t>>(t&9))>>((t>>10)%14))&(t>>(t&((t>>7)-9))),35
28,t&((t>>10)*(t*9)),40
29,t-(t&(((t>>9)*9)&(t^(t&10)))),65
30,((t*7)>>11)-((((t&4)/9)*8)*(t>>13)),10
31,(t|(t%7))|(t*(t>>8)),40
32,(t*5)^((t%8)*((t|8)>>8)),20
33,(t>>7)&((((t%8)*(t>>8))|((t*6)*(t&9)))>>7),25
34,(t*((t>>5)|(t>>8)))>>(t>>16),80
35,(t>>5)&(t^8),0
36,((t>>5)>>8)^(((t&11)*(t&7))&9),0
37,(((t&7)^(t>>13))^13)-(((t>>12)/(t|12))*(t>>8)),0
38,t>>((t&1)*((t&0)+5)),5
39,(t>>8)*((t^((t^((t*9)>>8))+(t&5)))&((t*(t&8))^(t*8))),5
40,(t&8)*((t^6)+((t&(t>>8))*(t*7))),5
41,(t>>5)&(((t&5)*6)|(t>>3)),5
42,t|(t>>5),10
43,(((t>>1)>>4)&(t+1))|(t*((t-3)^(t&(t&3)))),10
44,t*((t&9)&(t+(t>>9))),10
45,t&((t*(((t>>(t*7))^7)&(t&6)))>>6),10
46,(((t%8)^6)*(t>>5))&(t*10),10
47,t&(((t>>5)^(t^5))|(((t&(t|2))>>(t|5))>>5)),10
48,(t|4)&(t>>((t*(t>>(t&(t>>3))))*5)),10
49,(t*((t>>6)-7))>>((t&7)>>8),10
50,((t>>5)&(t^7))>>(((t&6)|6)&8),10
51,((t*1)>>5)>>((((t^4)|((t&8)|7))+6)*((t|5)&(t&(t&4)))),10
52,(t|3)&(t>>5),10
53,t&((t>>5)|7),10
54,((t^5)|(t>>(t>>7)))|((t>>5)|7),10
55,t&(t-(t&(t>>5))),10
56,t&((t|((t>>6)|0))&(t>>5)),10
57,(t>>5)&(t^7),10
58,t>>((t*4)&(t&((t|4)>>4))),10
59,((t*7)|(t>>5))+(((t&2)&2)>>(t&1)),15
60,(((t%5)&6)+(((t&6)&10)^(((t*7)>>6)*8)))*(t>>8),15
61,t&((t>>5)^3),15
62,(t*((t*8)>>9))|(t|((t|(t*(t&9)))&9)),15
63,t|(t*(t>>6)),15
64,(t&7)+((t&(t>>5))^(t&9)),15
65,(((((t*(t&9))^6)|6)^7)>>(t&9))>>((t&5)*6),15
66,t^((t>>(t&5))|(((t^5)&5)+(t&(t>>4)))),15
67,t|(t|(t>>5)),15
68,(t*0)^(t&(t>>5)),15
69,t>>(((t-(t^3))-((t-(t^(t>>3)))*2))&5),15
70,(t^8)&((t^(t>>5))>>((t+7)&9)),15
71,t|(((t&(t&(t>>6)))*((t|9)&(t>>5)))|((t|(t^8))%5)),15
72,t|((t+10)>>(t*(t&(t>>6)))),15
73,t>>(((t>>5)>>(t%2))&5),15
74,((t+1)>>5)&(t*7),15
75,(t*7)&((t|5)&(t*((t>>6)-(((t%5)-8)>>(t*8))))),20
76,t*((t^(((t^7)>>(((t+7)>>6)&4))&9))>>6),20
77,(t>>5)&(t>>((t&(t>>6))&7)),20
78,((t>>9)&(t^(t>>6)))&((t%10)&(t*9)),20
79,t|(((t>>4)>>((t&((t&6)+(t*4)))|(t&6)))>>6),20
80,(((t>>6)^8)*((t>>((t^2)>>2))-(t&2)))^(((t&7)>>5)^(t*5)),20
81,((t>>7)*12)&(t*(t*8)),20
82,(t>>5)&((t-((t|6)%5))&((t*5)-5)),20
83,t*(((((t>>11)*(t^(t*8)))|(((t&12)>>12)>>9))*7)|((t*8)&10)),20
84,(t>>6)&((t&6)*(((t^7)-12)>>7)),20
85,t^((t^(t%4))&(t>>5)),20
86,((t>>8)*8)-((t^((t^6)|((((t*8)-10)&(t*(t&6)))|(t^8))))^8),20
87,t>>(t&((t&(t>>4))>>2)),20
88,t&((((t>>3)+2)&3)^((t>>5)^3)),20
89,(t*7)&((t>>5)&(t*(t&11))),20
90,t>>(((t>>((t^(t*3))&2))^(t>>(t^2)))&5),20
91,((t|(t>>6))*7)^((t^((t&6)>>(t>>(t&9))))%9),25
92,(t&(t>>8))&((t&9)+(t&7)),25
93,((t*7)^4)&((t^8)>>5),25
94,(t>>8)>>(t&(t>>7)),25
95,t|((t*8)>>8),30
96,(((t-(t&6))^((t&4)|6))*7)&(t>>5),30
97,t*(t>>6),30
98,t&((((t>>((t^1)&2))|(t*2))>>(t*0))>>5),30
99,(t>>5)|((((t-6)|(t*3))>>4)^(t*3)),30
100,t|(((((t^4)>>5)^6)|5)|7),30
101,t&(((t*1)>>1)>>4),35
102,((t>>10)*(t|10))-((t|12)*((t&8)>>(t&12))),35
103,(t*(t|16))^((t*(t*(t>>12)))*11),35
104,(t^9)&((t*11)-(((t*7)*6)*(t>>8))),35
105,(t*4)|(t>>5),35
106,(t>>5)&(t*8),35
107,((t>>3)^(t|7))^(((t*4)>>(t&4))>>7),35
108,((t^8)|(t&8))&(t*(t>>6)),35
109,t^((t>>5)>>(t&4)),35
110,(t*7)|((t^9)>>(((t&8)+8)&(t>>8))),35
111,((t&(t>>10))-(t&11))|((t>>11)|(t^10)),40
112,(t|5)*((t>>6)>>(t&8)),40
113,(((t|1)>>3)/4)-(t&(t-(t*6))),40
114,((t&4)+(t>>5))|(t>>((t>>5)%8)),40
115,(t&(t%255))-(((t*3)&(t>>13))&(t>>6)),40
116,t*((t>>(t|(t^7)))+(t>>6)),40
117,((t*(t&4))|((t^(t*(t&6)))>>6))&(t*4),45
118,(t%9)&(((t>>10)>>((t&9)>>8))*(t&6)),45
119,((t|(t>>6))*6)^(((t&10)-6)+(t&(t&7))),45
120,(t>>5)*(t&(t^((t>>3)>>5))),45
121,(((t>>9)&(t*9))+(t|10))%((t>>11)+11),45
122,(((t|((t^7)>>11))*(t&12))&12)&(t>>((t%10)*11)),45
123,t*(((t>>11)&(t>>8))&(123&(t>>3))),45
124,(t>>6)*(t&6),50
125,((t&6)^(t*(t>>10)))*(t>>10),50
126,(t&9)*(((t>>((t>>5)>>10))/8)*((t>>8)*8)),50
127,t*(((t>>8)*((t>>15)|(t>>8)))&(20|((((t>>19)*5)>>t)|(t>>3)))),50
128,(t*(((t>>24)|(t>>10))&5))&132,50
129,t*(((t>>10)|8)*(t*8)),60
130,(((t>>9)|(t%11))&(t*10))*(((t&13)&13)|11),60
131,(t|6)*(t>>8),65
132,t*((((t>>9)^((t>>9)-1))^1)%13),65
133,(t>>5)&(((t*4)*7)^(((t*(t*9))>>6)>>8)),70
