expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,cont_rating
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),0,1421.697521,19.04901512,2504.439299,6.771270778,0.623012518,0.018510012,4.81E-06,6.77E-05,1346.582751,89.02342985,29.5249121,0
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),0,1797.760567,123.7629587,3309.909715,110.2966311,0.498658007,0.056105091,0.080753542,0.012509308,1247.929395,19.27722754,6.044783639,5
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),0,1793.711222,109.706648,3312.150187,101.7360154,0.498456032,0.015501034,0.058042418,0.001380685,1256.296637,25.695953,9.57791134,5
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),0,904.0237197,73.80200127,2301.714086,205.1039829,0.030035023,0.003914257,0.011143333,0.002382222,1098.54084,17.82378154,5.596369155,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),0,1180.065108,113.5277475,2695.6873,154.7949014,0.127081182,0.045806333,0.016273955,0.002990974,1164.376975,21.61721114,4.126512377,60
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1179.359121,326.2902555,2632.520989,649.9706717,0.20571008,0.124355246,0.003236303,0.003018753,1213.7137,38.24914813,25.42096891,45
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),14.6484375,1000.655447,425.4570136,2652.685235,1193.67,0.317499417,0.245964578,0.010781012,0.102691635,1164.140234,44.01143499,31.78837282,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),14.6484375,1652.503217,141.9344498,3645.522388,104.9380375,0,0,0.000382663,0.001791817,1509.774956,71.98921619,15.20669271,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),15.12096774,1232.778467,226.0337971,2700.334821,280.987964,0.12082202,0.062164397,0.009893698,0.010439523,1136.945673,53.28084447,34.62695695,90
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),17.04545455,1587.033327,139.3958376,3346.048774,211.9661992,0.513927988,0.015296907,0.003114985,0.003188214,1334.982085,26.56743196,7.162047207,5
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),19.53125,1654.410539,110.4001933,3391.949294,73.1484627,0.325195313,0.037322697,0.071287766,0.015725249,1342.142014,19.40540163,3.561152588,5
